t,xi_err_norm,manipulability_w,damping_lambda
0.925000,0.00639909,0.00961469,0.03261947
0.930000,0.00629488,0.00986763,0.03221215
0.935000,0.00619080,0.01012281,0.03180380
0.940000,0.00608693,0.01038017,0.03139461
0.945000,0.00598336,0.01063964,0.03098476
0.950000,0.00588018,0.01090115,0.03057440
0.955000,0.00577746,0.01116464,0.03016370
0.960000,0.00567527,0.01143005,0.02975283
0.965000,0.00557367,0.01169730,0.02934193
0.970000,0.00547274,0.01196635,0.02893117
0.975000,0.00537253,0.01223713,0.02852069
0.980000,0.00527310,0.01250958,0.02811063
0.985000,0.00517449,0.01278366,0.02770112
0.990000,0.00507676,0.01305929,0.02729232
0.995000,0.00497994,0.01333644,0.02688434
1.000000,0.00488409,0.01361504,0.02647731
1.005000,0.00478924,0.01389504,0.02607136
1.010000,0.00469541,0.01417640,0.02566661
1.015000,0.00460265,0.01445906,0.02526316
1.020000,0.00451098,0.01474298,0.02486114
1.025000,0.00442043,0.01502811,0.02446066
1.030000,0.00433102,0.01531441,0.02406180
1.035000,0.00424277,0.01560182,0.02366469
1.040000,0.00415570,0.01589031,0.02326942
1.045000,0.00406982,0.01617983,0.02287608
1.050000,0.00398516,0.01647034,0.02248476
1.055000,0.00390172,0.01676180,0.02209556
1.060000,0.00381950,0.01705416,0.02170857
1.065000,0.00373853,0.01734739,0.02132386
1.070000,0.00365880,0.01764145,0.02094152
1.075000,0.00358032,0.01793629,0.02056163
1.080000,0.00350310,0.01823189,0.02018426
1.085000,0.00342713,0.01852820,0.01980949
1.090000,0.00335242,0.01882518,0.01943739
1.095000,0.00327896,0.01912281,0.01906802
1.100000,0.00320676,0.01942103,0.01870146
1.105000,0.00313580,0.01971983,0.01833777
1.110000,0.00306609,0.02001916,0.01797702
1.115000,0.00299762,0.02031899,0.01761925
1.120000,0.00293039,0.02061928,0.01726453
1.125000,0.00286438,0.02092000,0.01691292
1.130000,0.00279959,0.02122112,0.01656447
1.135000,0.00273601,0.02152261,0.01621924
1.140000,0.00267363,0.02182442,0.01587727
1.145000,0.00261244,0.02212653,0.01553860
1.150000,0.00255243,0.02242891,0.01520330
1.155000,0.00249359,0.02273152,0.01487140
1.160000,0.00243591,0.02303433,0.01454294
1.165000,0.00237938,0.02333732,0.01421797
1.170000,0.00232397,0.02364044,0.01389653
1.175000,0.00226969,0.02394366,0.01357865
1.180000,0.00221651,0.02424697,0.01326437
1.185000,0.00216443,0.02455031,0.01295373
1.190000,0.00211343,0.02485367,0.01264675
1.195000,0.00206349,0.02515702,0.01234348
1.200000,0.00201460,0.02546031,0.01204393
1.205000,0.00196674,0.02576353,0.01174813
1.210000,0.00191991,0.02606663,0.01145612
1.215000,0.00187408,0.02636960,0.01116792
1.220000,0.00182924,0.02667240,0.01088354
1.225000,0.00178538,0.02697499,0.01060302
1.230000,0.00174248,0.02727736,0.01032637
1.235000,0.00170053,0.02757947,0.01005361
1.240000,0.00165950,0.02788128,0.00978475
1.245000,0.00161939,0.02818278,0.00951982
1.250000,0.00158018,0.02848392,0.00925883
1.255000,0.00154185,0.02878469,0.00900179
1.260000,0.00150439,0.02908505,0.00874871
1.265000,0.00146779,0.02938496,0.00849959
1.270000,0.00143202,0.02968442,0.00825446
1.275000,0.00139707,0.02998337,0.00801331
1.280000,0.00136293,0.03028179,0.00777615
1.285000,0.00132958,0.03057966,0.00754299
1.290000,0.00129701,0.03087695,0.00731382
1.295000,0.00126521,0.03117362,0.00708865
1.300000,0.00123415,0.03146965,0.00686748
1.305000,0.00120382,0.03176500,0.00665030
1.310000,0.00117421,0.03205966,0.00643712
1.315000,0.00114530,0.03235359,0.00622792
1.320000,0.00111709,0.03264675,0.00602270
1.325000,0.00108955,0.03293914,0.00582146
1.330000,0.00106267,0.03323071,0.00562418
1.335000,0.00103644,0.03352144,0.00543086
1.340000,0.00101085,0.03381129,0.00524148
1.345000,0.00098587,0.03410025,0.00505604
1.350000,0.00096150,0.03438829,0.00487451
1.355000,0.00093773,0.03467537,0.00469689
1.360000,0.00091454,0.03496147,0.00452315
1.365000,0.00089191,0.03524657,0.00435328
1.370000,0.00086984,0.03553063,0.00418725
1.375000,0.00084832,0.03581363,0.00402506
1.380000,0.00082733,0.03609554,0.00386668
1.385000,0.00080685,0.03637634,0.00371208
1.390000,0.00078689,0.03665600,0.00356124
1.395000,0.00076742,0.03693450,0.00341415
1.400000,0.00074843,0.03721180,0.00327076
1.405000,0.00072992,0.03748789,0.00313106
1.410000,0.00071187,0.03776274,0.00299501
1.415000,0.00069427,0.03803632,0.00286259
1.420000,0.00067711,0.03830861,0.00273377
1.425000,0.00066038,0.03857958,0.00260852
1.430000,0.00064407,0.03884922,0.00248680
1.435000,0.00062818,0.03911749,0.00236858
1.440000,0.00061268,0.03938438,0.00225383
